heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
temperasimulada,354,50,1,0.0000,122,381,0.90
temperasimulada,354,50,2,0.0000,122,381,0.90
temperasimulada,354,50,3,0.0000,122,381,0.90
temperasimulada,354,50,4,0.0000,122,381,0.90
temperasimulada,354,50,5,0.0000,122,381,0.90
temperasimulada,354,50,6,0.0000,122,381,0.90
temperasimulada,354,50,7,0.0000,122,381,0.90
temperasimulada,354,50,8,0.0000,122,381,0.90
temperasimulada,354,50,9,0.0000,122,381,0.90
temperasimulada,354,50,10,0.0000,122,381,0.90
temperasimulada,354,50,1,0.0000,251,381,0.95
temperasimulada,354,50,2,0.0000,251,381,0.95
temperasimulada,354,50,3,0.0000,251,381,0.95
temperasimulada,354,50,4,0.0000,251,381,0.95
temperasimulada,354,50,5,0.0000,251,381,0.95
temperasimulada,354,50,6,0.0000,251,381,0.95
temperasimulada,354,50,7,0.0000,251,381,0.95
temperasimulada,354,50,8,0.0000,251,381,0.95
temperasimulada,354,50,9,0.0000,251,381,0.95
temperasimulada,354,50,10,0.0000,251,381,0.95
temperasimulada,354,50,1,0.0001,1000,381,0.99
temperasimulada,354,50,2,0.0001,1000,381,0.99
temperasimulada,354,50,3,0.0001,1000,381,0.99
temperasimulada,354,50,4,0.0001,1000,381,0.99
temperasimulada,354,50,5,0.0001,1000,381,0.99
temperasimulada,354,50,6,0.0001,1000,381,0.99
temperasimulada,354,50,7,0.0001,1000,381,0.99
temperasimulada,354,50,8,0.0001,1000,381,0.99
temperasimulada,354,50,9,0.0001,1000,381,0.99
temperasimulada,354,50,10,0.0001,1000,381,0.99
temperasimulada,2500,50,1,0.0000,67,2549,0.80
temperasimulada,2500,50,2,0.0000,67,2549,0.80
temperasimulada,2500,50,3,0.0000,67,2549,0.80
temperasimulada,2500,50,4,0.0000,67,2549,0.80
temperasimulada,2500,50,5,0.0000,67,2549,0.80
temperasimulada,2500,50,6,0.0000,67,2549,0.80
temperasimulada,2500,50,7,0.0000,67,2549,0.80
temperasimulada,2500,50,8,0.0000,67,2549,0.80
temperasimulada,2500,50,9,0.0000,67,2549,0.80
temperasimulada,2500,50,10,0.0000,67,2549,0.80
temperasimulada,2500,50,1,0.0000,91,2549,0.85
temperasimulada,2500,50,2,0.0000,91,2549,0.85
temperasimulada,2500,50,3,0.0000,91,2549,0.85
temperasimulada,2500,50,4,0.0000,91,2549,0.85
temperasimulada,2500,50,5,0.0000,91,2549,0.85
temperasimulada,2500,50,6,0.0000,91,2549,0.85
temperasimulada,2500,50,7,0.0000,91,2549,0.85
temperasimulada,2500,50,8,0.0000,91,2549,0.85
temperasimulada,2500,50,9,0.0000,91,2549,0.85
temperasimulada,2500,50,10,0.0000,91,2549,0.85
temperasimulada,2500,50,1,0.0000,141,2549,0.90
temperasimulada,2500,50,2,0.0000,141,2549,0.90
temperasimulada,2500,50,3,0.0000,141,2549,0.90
temperasimulada,2500,50,4,0.0000,141,2549,0.90
temperasimulada,2500,50,5,0.0000,141,2549,0.90
temperasimulada,2500,50,6,0.0000,141,2549,0.90
temperasimulada,2500,50,7,0.0000,141,2549,0.90
temperasimulada,2500,50,8,0.0000,141,2549,0.90
temperasimulada,2500,50,9,0.0000,141,2549,0.90
temperasimulada,2500,50,10,0.0000,141,2549,0.90
temperasimulada,2500,50,1,0.0000,288,2549,0.95
temperasimulada,2500,50,2,0.0000,288,2549,0.95
temperasimulada,2500,50,3,0.0000,288,2549,0.95
temperasimulada,2500,50,4,0.0000,288,2549,0.95
temperasimulada,2500,50,5,0.0000,288,2549,0.95
temperasimulada,2500,50,6,0.0000,288,2549,0.95
temperasimulada,2500,50,7,0.0000,288,2549,0.95
temperasimulada,2500,50,8,0.0000,288,2549,0.95
temperasimulada,2500,50,9,0.0000,288,2549,0.95
temperasimulada,2500,50,10,0.0000,288,2549,0.95
temperasimulada,2500,50,1,0.0001,1000,2549,0.99
temperasimulada,2500,50,2,0.0001,1000,2549,0.99
temperasimulada,2500,50,3,0.0001,1000,2549,0.99
temperasimulada,2500,50,4,0.0001,1000,2549,0.99
temperasimulada,2500,50,5,0.0001,1000,2549,0.99
temperasimulada,2500,50,6,0.0001,1000,2549,0.99
temperasimulada,2500,50,7,0.0001,1000,2549,0.99
temperasimulada,2500,50,8,0.0001,1000,2549,0.99
temperasimulada,2500,50,9,0.0001,1000,2549,0.99
temperasimulada,2500,50,10,0.0001,1000,2549,0.99
